workerId, condition, rating, trialsSeen, comments, rule
debugD7DRUY, 84, 1, 4, red
debugRUWG0P, 124, 1, 1, , fd
debugN21CLQ, 126, 1, 9, , RULLEEEEEZZZ
debugQ4PM2Q, 117, 4, 2, , ewfewfewzzzzzzz
A2NA2OJT15COZY, 29, 3, 31, , A small green or red triangle or small green square.
AIZTLQM7HHQN6, 5, 3, 13, , Green square
A1ZT30BGR3266K, 111, 2, 20, , Medium sized shape
ASCTCB5BHNS43, 91, 0, 19, , Little shape
ASF5V3K4IFP4K, 15, 3, 13, , green shape
A2CWJRAEFZ44HU, 47, 0, 22, , i don't have any clue and i doubt i would understand if i kept going
AITP2LUW8GPB, 120, 3, 2, , square
A38AHDQA5CJGXI, 28, 1, 40, , Green/Red Small triangle OR Green Square. 
A87D3K9YVKTQ7, 65, 2, 3, , small red square
ADW1CCQRMHXBP, 39, 2, 1, , Not square or red
A3QLGMZOLGMBQ1, 58, 0, 40, , Red or green triangle or square that is either small or large.
ANKUCF96A2F1W, 96, 4, 9, , a red square
A1FN9GMVQX5T3Z, 63, 2, 18, , large triangle or small square
A259UZJQOOVE4V, 74, 1, 12, , small red square or large green triangle
A23PUN26X2BZSV, 21, 1, 19, , Small shape  small triangle and square
A21KF567E8ZCLO, 93, 2, 22, , Red small triangle is daxxy
A3DNFIQGSB5M5Q, 85, 2, 9, , square
AFXUY512E31AP, 69, 4, 2, , SMALL SIZE IS NOT daxxy BIG SIZE IS daxxy
A1DUPOUC9RNU4L, 41, 2, 3, , Daxxy is a red circle
AWKUOA7M4P8YI, 62, 4, 2, , big red square
A110SRJXQW7KMQ, 27, 3, 4, , triangle
A2363SY3BR3FGW, 2, 1, 9, , not a circle 
A2SYVZTOWYMFA8, 95, 1, 24, , Not a large green triangle.
A20IA63WXHF683, 102, 4, 5, , a square color is not important
A1ZTSCPETU3UJW, 99, 0, 24, , average
A1EAR8424WFLGO, 77, 1, 2, , daxxy
A2ZYUU30WYDYI0, 114, 3, 6, , red
A2620VELR4LMLU, 30, 3, 4, , Triangle
A8F4B0854KTXO, 97, 4, 3, , square
A15QHBPNWFBUIS, 61, 2, 39, , equal border thickness
ARZMZHL90FY1S, 81, 3, 9, , the smaller shapes
ATJVY9O4CY5EX, 54, 2, 36, , Day means big red squares small red triangles big green squares and big red triangles
A174UGURZYYCWC, 70, 0, 26, , Large
A2G7F16RAOFTXG, 0, 0, 54, , circle
A3UUY2UL6TZ55S, 125, 3, 14, , big triangles
A3MOW76A8O3T3O, 73, 4, 7, , green
A3GD18L14JDP2Q, 34, 3, 10, , A large red shape
A3T823TYKTZEVO, 9, 3, 12, , a small geometric form not circular colored green with a black border
A1GKD3NG1NNHRP, 127, 2, 25, , ANYTHING BUT A LARGE GREEN TRIANGLE
