,workerId, condition, rating, trialsSeen, comments, rule,cplx
0,debugD7DRUY,84,1,4, red,,5
1,debugRUWG0P,124,1,1, , fd,5
2,debugN21CLQ,126,1,9, , RULLEEEEEZZZ,3
3,debugQ4PM2Q,117,4,2, , ewfewfewzzzzzzz,5
4,A2NA2OJT15COZY,29,3,31, , A small green or red triangle or small green square.,7
5,AIZTLQM7HHQN6,5,3,13, , Green square,3
6,A1ZT30BGR3266K,111,2,20, , Medium sized shape,9
7,ASCTCB5BHNS43,91,0,19, , Little shape,16
8,ASF5V3K4IFP4K,15,3,13, , green shape,16
9,A2CWJRAEFZ44HU,47,0,22, , i don't have any clue and i doubt i would understand if i kept going,9
10,AITP2LUW8GPB,120,3,2, , square,1
11,A38AHDQA5CJGXI,28,1,40, , Green/Red Small triangle OR Green Square. ,16
12,A87D3K9YVKTQ7,65,2,3, , small red square,16
13,ADW1CCQRMHXBP,39,2,1, , Not square or red,7
14,A3QLGMZOLGMBQ1,58,0,40, , Red or green triangle or square that is either small or large.,7
15,ANKUCF96A2F1W,96,4,9, , a red square,3
16,A1FN9GMVQX5T3Z,63,2,18, , large triangle or small square,16
17,A259UZJQOOVE4V,74,1,12, , small red square or large green triangle,16
18,A23PUN26X2BZSV,21,1,19, , Small shape  small triangle and square,5
19,A21KF567E8ZCLO,93,2,22, , Red small triangle is daxxy,5
20,A3DNFIQGSB5M5Q,85,2,9, , square,1
21,AFXUY512E31AP,69,4,2, , SMALL SIZE IS NOT daxxy BIG SIZE IS daxxy,5
22,A1DUPOUC9RNU4L,41,2,3, , Daxxy is a red circle,16
23,AWKUOA7M4P8YI,62,4,2, , big red square,9
24,A110SRJXQW7KMQ,27,3,4, , triangle,16
25,A2363SY3BR3FGW,2,1,9, , not a circle ,5
26,A2SYVZTOWYMFA8,95,1,24, , Not a large green triangle.,16
27,A20IA63WXHF683,102,4,5, , a square color is not important,1
28,A1ZTSCPETU3UJW,99,0,24, , average,16
29,A1EAR8424WFLGO,77,1,2, , daxxy,16
30,A2ZYUU30WYDYI0,114,3,6, , red,7
31,A2620VELR4LMLU,30,3,4, , Triangle,7
32,A8F4B0854KTXO,97,4,3, , square,9
33,A15QHBPNWFBUIS,61,2,39, , equal border thickness,9
34,ARZMZHL90FY1S,81,3,9, , the smaller shapes,5
35,ATJVY9O4CY5EX,54,2,36, , Day means big red squares small red triangles big green squares and big red triangles,16
36,A174UGURZYYCWC,70,0,26, , Large,5
37,A2G7F16RAOFTXG,0,0,54, , circle,1
38,A3UUY2UL6TZ55S,125,3,14, , big triangles,3
39,A3MOW76A8O3T3O,73,4,7, , green,16
40,A3GD18L14JDP2Q,34,3,10, , A large red shape,3
41,A3T823TYKTZEVO,9,3,12, , a small geometric form not circular colored green with a black border,16
